disp_x,disp_y,id,x,y,z,weight_disp_x,weight_disp_y,diff_disp_x,diff_disp_y,weighted_diff_disp,weighted_diff_disp_2noise,weighted_diff_disp_5noise
2.2718266591838e-06,-1.326111611708e-06,30,0.000375,0.0,0,1000000000.0,0.0,-4.2955912817100076e-08,0.0,-42.95591281710008,-42.90819569249739,-42.893335493737936
2.4307231974376e-06,-1.1528076223002e-06,32,0.0004,0.0,0,1000000000.0,0.0,-4.41571491433e-08,0.0,-44.1571491433,-44.7313402774256,-33.72993497416411
2.0708968581383e-06,-1.0410605690077e-06,33,0.0004,5e-05,0,1000000000.0,0.0,-3.4637251884000196e-08,0.0,-34.63725188400019,-34.18110198785246,-36.12042812141708
2.5894120534137e-06,-9.5173103118041e-07,34,0.000425,0.0,0,1000000000.0,0.0,-4.509549776150027e-08,0.0,-45.09549776150027,-46.095681410765664,-41.67808147606715
2.1823181949765e-06,-8.3890967259962e-07,35,0.000425,5e-05,0,1000000000.0,0.0,-3.537731178950001e-08,0.0,-35.37731178950001,-34.27082420490355,-35.89126415558051
2.745576304625e-06,-7.1354914637272e-07,36,0.00045,0.0,0,1000000000.0,0.0,-4.576785226200032e-08,0.0,-45.767852262000325,-44.819564648262606,-40.77685025945777
2.2867018306922e-06,-6.0156726835468e-07,37,0.00045,5e-05,0,1000000000.0,0.0,-3.590776352709997e-08,0.0,-35.907763527099966,-37.73853346453017,-35.1140440142105
2.8931472564189e-06,-4.2129262063599e-07,38,0.000475,0.0,0,1000000000.0,0.0,-4.61720877751001e-08,0.0,-46.1720877751001,-47.93051859894357,-46.24210953421764
2.3860558204041e-06,-3.1784559555974e-07,39,0.000475,5e-05,0,1000000000.0,0.0,-3.622675662289981e-08,0.0,-36.226756622899806,-35.5584261581537,-36.75842492594608
3.0259600664945e-06,0.0,40,0.0005,0.0,0,1000000000.0,0.0,-4.630696811069975e-08,0.0,-46.30696811069975,-48.398046317808266,-49.66746484841945
2.4973328655476e-06,0.0,41,0.0005,5e-05,0,1000000000.0,0.0,-3.6333206680200006e-08,0.0,-36.33320668020001,-39.55315353056771,-34.89312263276717
4.1049356260969e-07,1.0030119509381e-08,267,0.000375,0.0006,0,1000000000.0,0.0,3.437815449293998e-08,0.0,34.37815449293998,37.023305002545,38.35469565201036
4.642295516786e-07,2.5442798994975e-08,268,0.0004,0.0006,0,1000000000.0,0.0,3.574802382712001e-08,0.0,35.74802382712001,36.73499232108041,35.01062758047564
5.265458215335e-07,3.3203337874342e-08,269,0.000425,0.0006,0,1000000000.0,0.0,3.6813762632830026e-08,0.0,36.81376263283003,34.84703016560239,41.62198903221413
6.0060787177859e-07,3.124379345513e-08,270,0.00045,0.0006,0,1000000000.0,0.0,3.7574932157039997e-08,0.0,37.574932157039996,38.02156213302035,41.31006640905383
6.9091569791293e-07,1.8463656181958e-08,271,0.000475,0.0006,0,1000000000.0,0.0,3.8031546801529993e-08,0.0,38.03154680152999,37.43919579149461,39.997548126279234
8.0342262348047e-07,0.0,272,0.0005,0.0006,0,1000000000.0,0.0,3.818373175670998e-08,0.0,38.18373175670998,38.41204273222141,37.363409670755196
1.1979335888844e-07,8.281915041198e-08,283,0.00025,0.00065,0,1000000000.0,0.0,3.6176070699964994e-08,0.0,36.176070699964995,36.46000600347896,33.080222369983716
1.3916138431319e-07,1.0427720058252e-07,284,0.000275,0.00065,0,1000000000.0,0.0,3.944198663701501e-08,0.0,39.44198663701501,39.00534217124783,39.43132911530438
1.5960968682906e-07,1.26441816653e-07,285,0.0003,0.00065,0,1000000000.0,0.0,4.2310854912830004e-08,0.0,42.31085491283,38.90543913404845,40.281427218346344
1.8122837133908e-07,1.4786066571683e-07,286,0.000325,0.00065,0,1000000000.0,0.0,4.479758769527999e-08,0.0,44.797587695279994,42.89249775092982,47.27440086341596
2.0423040818505e-07,1.6664996822926e-07,287,0.00035,0.00065,0,1000000000.0,0.0,4.691830159731001e-08,0.0,46.91830159731001,48.63569149988915,48.30746455955156
2.290822352168e-07,1.803571715676e-07,288,0.000375,0.00065,0,1000000000.0,0.0,4.868791165852001e-08,0.0,48.68791165852001,49.6277760594495,47.088152691902195
2.5676211471198e-07,1.8575258006046e-07,289,0.0004,0.00065,0,1000000000.0,0.0,5.011912351140003e-08,0.0,50.119123511400026,51.21360303054549,50.77654088751609
2.8927971316681e-07,1.7848745866685e-07,290,0.000425,0.00065,0,1000000000.0,0.0,5.122213673548998e-08,0.0,51.22213673548998,49.84439528503326,47.67424840537652
3.3076078131757e-07,1.5246417023934e-07,291,0.00045,0.00065,0,1000000000.0,0.0,5.200466811639004e-08,0.0,52.004668116390036,54.81619782309451,55.080262284317605
3.8984339700019e-07,9.8497584828964e-08,292,0.000475,0.00065,0,1000000000.0,0.0,5.2472084968520006e-08,0.0,52.47208496852001,54.86226190423214,59.225277543981115
4.8614590949047e-07,0.0,293,0.0005,0.00065,0,1000000000.0,0.0,5.262754360820994e-08,0.0,52.62754360820994,51.98790796674313,55.67979151960705
4.659548156161e-09,-3.6611117129348e-09,300,0.00015,0.0007,0,1000000000.0,0.0,3.4754224960191996e-08,0.0,34.754224960192,34.91963617852901,38.28331056293297
9.7197180396687e-09,3.3193674324976e-09,301,0.000175,0.0007,0,1000000000.0,0.0,4.07050718292407e-08,0.0,40.7050718292407,42.00306965525197,42.68078840810036
1.4749959463198e-08,1.4606353720732e-08,302,0.0002,0.0007,0,1000000000.0,0.0,4.5833766354349004e-08,0.0,45.833766354349,47.22800992551254,44.49337067242015
1.9651267742383e-08,2.9720583806904e-08,303,0.000225,0.0007,0,1000000000.0,0.0,5.0226658472949006e-08,0.0,50.226658472949005,49.4165935695479,51.39927346115744
2.4299291888284e-08,4.8054868668518e-08,304,0.00025,0.0007,0,1000000000.0,0.0,5.3982504235242995e-08,0.0,53.98250423524299,51.36940569525171,57.322110029050805
2.848114400501e-08,6.883884277476e-08,305,0.000275,0.0007,0,1000000000.0,0.0,5.7190754908866e-08,0.0,57.190754908866005,58.72478493915593,62.32982329489974
3.1843303242455e-08,9.1074946641816e-08,306,0.0003,0.0007,0,1000000000.0,0.0,5.9924814285914e-08,0.0,59.924814285914,60.16182733182011,59.85783889216573
3.383790664585e-08,1.134471597961e-07,307,0.000325,0.0007,0,1000000000.0,0.0,6.2241881689173e-08,0.0,62.241881689173006,60.093253378134335,61.12007097628982
3.3652893960261e-08,1.3419739651804e-07,308,0.00035,0.0007,0,1000000000.0,0.0,6.418524265651501e-08,0.0,64.185242656515,65.74570108340353,64.35250902944748
3.009952139132e-08,1.5095883104507e-07,309,0.000375,0.0007,0,1000000000.0,0.0,6.5787085588185e-08,0.0,65.787085588185,67.27379980824365,68.07157091891403
2.1397479747466e-08,1.6052360454298e-07,310,0.0004,0.0007,0,1000000000.0,0.0,6.7071045110396e-08,0.0,67.071045110396,66.2890251629092,68.6191268198969
4.7179334377779e-09,1.5847985421957e-07,311,0.000425,0.0007,0,1000000000.0,0.0,6.80542164660639e-08,0.0,68.0542164660639,68.21918542046579,64.52514908433221
-2.4820770992254e-08,1.385738629209e-07,312,0.00045,0.0007,0,1000000000.0,0.0,6.8748627933487e-08,0.0,68.748627933487,69.71762208258662,68.59791439965909
-7.6469952549603e-08,9.1379830016328e-08,313,0.000475,0.0007,0,1000000000.0,0.0,6.9162249005157e-08,0.0,69.162249005157,68.89696321145114,70.11315559705102
-1.7024860373495e-07,0.0,314,0.0005,0.0007,0,1000000000.0,0.0,6.929962947225999e-08,0.0,69.29962947225998,67.93699298005278,70.40469402342342
-2.170802983726e-08,-2.6405794515478e-07,319,0.0001,0.00075,0,1000000000.0,0.0,4.526402386374e-08,0.0,45.26402386374,44.06985162998569,46.03524369939083
-2.567221880367e-08,-2.689978267682e-07,320,0.000125,0.00075,0,1000000000.0,0.0,5.4469739449668e-08,0.0,54.469739449668,55.6531197185498,53.50152095240952
-3.1484844416756e-08,-2.6804121769768e-07,321,0.00015,0.00075,0,1000000000.0,0.0,6.1437613908459e-08,0.0,61.43761390845901,61.891360011122984,57.263830271540286
-3.8797205861191e-08,-2.6181746368501e-07,322,0.000175,0.00075,0,1000000000.0,0.0,6.6776785272479e-08,0.0,66.776785272479,66.54145805176286,71.02884535919993
-4.7315266224812e-08,-2.5080144194105e-07,323,0.0002,0.00075,0,1000000000.0,0.0,7.0956539047628e-08,0.0,70.956539047628,68.26747650095352,66.27226035612675
-5.6892519036042e-08,-2.3538682055474e-07,324,0.000225,0.00075,0,1000000000.0,0.0,7.430735669816799e-08,0.0,74.307356698168,75.49752326345192,72.19297869774698
-6.7571130296777e-08,-2.1595402636885e-07,325,0.00025,0.00075,0,1000000000.0,0.0,7.705186424437299e-08,0.0,77.051864244373,78.02563229984324,77.12429915654182
-7.9615756471792e-08,-1.9293209107327e-07,326,0.000275,0.00075,0,1000000000.0,0.0,7.9336338246568e-08,0.0,79.33633824656799,79.76503961094852,72.7464223923206
-9.3558030328838e-08,-1.6686275236579e-07,327,0.0003,0.00075,0,1000000000.0,0.0,8.125560964929199e-08,0.0,81.25560964929198,80.49532257371867,85.69525153841852
-1.10258956791e-07,-1.3847565941693e-07,328,0.000325,0.00075,0,1000000000.0,0.0,8.287091163447e-08,0.0,82.87091163447,84.81787437565018,87.56371889816532
-1.3099135151823e-07,-1.0877988604278e-07,329,0.00035,0.00075,0,1000000000.0,0.0,8.422198586797001e-08,0.0,84.22198586797,85.41554980971884,84.89728720880777
-1.5754087135788e-07,-7.9166789560249e-08,330,0.000375,0.00075,0,1000000000.0,0.0,8.533497471522999e-08,0.0,85.33497471522999,85.75571527960116,84.8070422473815
